city,year,weekofyear,total_cases
iq,2011,16,5
iq,2011,17,7
iq,2011,18,5
iq,2011,19,3
iq,2011,20,4
iq,2011,21,3
iq,2011,22,3
iq,2011,23,3
iq,2011,24,4
iq,2011,25,2
iq,2011,26,2
iq,2011,27,2
iq,2011,28,2
iq,2011,29,4
iq,2011,30,3
iq,2011,31,4
iq,2011,32,4
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,2
iq,2011,37,4
iq,2011,38,5
iq,2011,39,7
iq,2011,40,7
iq,2011,41,7
iq,2011,42,13
iq,2011,43,18
iq,2011,44,14
iq,2011,45,13
iq,2011,46,13
iq,2011,47,14
iq,2011,48,9
iq,2011,49,10
iq,2011,50,16
iq,2011,51,20
iq,2012,52,12
iq,2012,1,15
iq,2012,2,11
iq,2012,3,13
iq,2012,4,10
iq,2012,5,9
iq,2012,6,17
iq,2012,7,15
iq,2012,8,14
iq,2012,9,13
iq,2012,10,6
iq,2012,11,5
iq,2012,12,6
iq,2012,13,7
iq,2012,14,5
iq,2012,15,7
iq,2012,16,8
iq,2012,17,8
iq,2012,18,3
iq,2012,19,3
iq,2012,20,6
iq,2012,21,2
iq,2012,22,3
iq,2012,23,2
iq,2012,24,3
iq,2012,25,3
iq,2012,26,4
iq,2012,27,3
iq,2012,28,3
iq,2012,29,4
iq,2012,30,4
iq,2012,31,3
iq,2012,32,3
iq,2012,33,4
iq,2012,34,5
iq,2012,35,3
iq,2012,36,4
iq,2012,37,4
iq,2012,38,9
iq,2012,39,8
iq,2012,40,14
iq,2012,41,9
iq,2012,42,13
iq,2012,43,14
iq,2012,44,12
iq,2012,45,13
iq,2012,46,20
iq,2012,47,15
iq,2012,48,18
iq,2012,49,13
iq,2012,50,10
iq,2012,51,6
iq,2013,1,14
iq,2013,2,8
iq,2013,3,11
iq,2013,4,13
iq,2013,5,19
iq,2013,6,15
iq,2013,7,13
iq,2013,8,13
iq,2013,9,14
iq,2013,10,9
iq,2013,11,9
iq,2013,12,9
iq,2013,13,7
iq,2013,14,8
iq,2013,15,4
iq,2013,16,6
iq,2013,17,4
iq,2013,18,4
iq,2013,19,4
iq,2013,20,5
iq,2013,21,4
iq,2013,22,5
iq,2013,23,3
iq,2013,24,1
iq,2013,25,4
iq,2013,26,3
